stop_id,stop_name,stop_lat,stop_lon
614566,R. Dr. Bento Teobaldo Ferraz,-23.524503,-46.670379
614567,"R. Dr. Edgard Theotonio Santana, 423",-23.515934,-46.676078
614568,Av. Auro Soares De Moura Andrade,-23.525744,-46.671167
614570,Ac. Via Lateral Vd. Pompeia,-23.522048,-46.679609
614571,"R. Júlio Gonzalez, 132",-23.526142,-46.671428
614572,"R. Tagipuru, 917",-23.527113,-46.669223
614573,"Av. Mq. De São Vicente, 1771",-23.519327,-46.675348
614574,"R. Gustav Willi Borghoff, 480",-23.524638,-46.675270
614578,"Pça. Pascoal Martins, 54",-23.518844,-46.674723
614583,Terminal Barra Funda Lado Sul Plat. B,-23.526276,-46.667270
706304,"Av. Paulista, 900",-23.565900,-46.650929
706308,Parada Avenida Paulista,-23.566211,-46.648198
706309,Parada Cincinato Braga,-23.565941,-46.647922
706310,Parada Treze De Maio,-23.563945,-46.646421
706311,Parada Treze De Maio,-23.563731,-46.646118
706319,Parada Treze De Maio,-23.569800,-46.644035
706320,"R. Treze De Maio, 1855",-23.569840,-46.643800
706322,Parada Treze De Maio,-23.566288,-46.644605
706325,Parada 14 Bis B/C,-23.555934,-46.650112
706334,Parada 14 Bis C/B,-23.555608,-46.649766
706357,"R. Cincinato Braga, 144",-23.569313,-46.644804
706361,"R. Rui Barbosa, 333",-23.558383,-46.645243
706366,"R. Rui Barbosa, 611",-23.560881,-46.645136
706367,"R. Antônio Carlos, 196",-23.557171,-46.657021
706371,Ponto Provisório,-23.559007,-46.654282
809564,"R. Pe. Adelino, 1095",-23.543848,-46.583491
809671,"R. Serra Da Bocaina, 320",-23.546475,-46.588252
809675,"Av. Álvaro Ramos, 779",-23.544156,-46.586279
809676,"R. Pe. Adelino, 941",-23.544303,-46.585562
810534,"Av. Ariston De Azevedo, 75",-23.528179,-46.601910
810536,"Pça. Gen. Humberto Souza Mello, 56",-23.530716,-46.602355
810550,"R. Herval, 715",-23.540606,-46.588469
810556,"R. Serra Da Bocaina, 126",-23.546963,-46.590586
810563,R. David Zeiger,-23.547783,-46.579752
810583,"R. S. Leopoldo, 308",-23.540884,-46.599837
810586,"R. Paulo Andrighetti, 55",-23.528983,-46.603486
810588,"Pça. Gen. Humberto Souza Mello, 893",-23.530317,-46.603074
810590,Terminal Metrô Belém (sul) Pl. D,-23.543289,-46.589189
810591,"R. Júlio Cesar Da Silva, 72",-23.538213,-46.605602
810592,"Pça. Mj. Guilherme Rudge, 59",-23.537436,-46.588989
810593,"R. Itaqueri, 1122",-23.556723,-46.588605
810601,"R. Herval, 1011",-23.540132,-46.585778
810602,"R. Sta. Rita, 56",-23.533370,-46.612293
810604,"Av. Cdssa. Elisabeth De Robiano, 1256",-23.527330,-46.565475
810605,"R. Behring, 236",-23.536282,-46.605720
810606,"R. Pimenta Bueno, 70",-23.537352,-46.588048
810608,"R. Cons. Cotegipe, 101",-23.538411,-46.592581
910689,"R. Barra Do Tibagi, 1090",-23.525761,-46.647656
910711,"R. Da Graça, 343",-23.528206,-46.639314
910768,"R. Prates, 898",-23.526231,-46.634803
910776,"Av. Do Estado, 5854",-23.558955,-46.615202
910777,Luz,-23.535297,-46.634703
910792,"R. Guarani, 368",-23.527804,-46.637215
910794,"R. Vítor Airosa, 131",-23.527741,-46.626775
910795,"R. Guaporé, 385",-23.523561,-46.626543
910800,Parada Rudge C/B,-23.524213,-46.649841
910804,"R. Guarani, 56",-23.528769,-46.634406
910808,"R. Jorge Velho, 122",-23.527111,-46.632329
910809,"R. Silva Pinto, 415",-23.528162,-46.638960
910811,"R. Anhaia, 955",-23.522139,-46.646257
910812,R. Sérgio Tomás,-23.521493,-46.646727
910813,"Av. Santos Dumont, 1318",-23.516163,-46.629538
910816,"R. Júlio Conceição, 569",-23.527608,-46.641574
910817,"R. Barra Do Tibagi, 810",-23.524926,-46.645837
1009884,Parada 1/2/3 - Concórdia,-23.542177,-46.615552
1009889,"R. Visc. De Abaete, 79",-23.540611,-46.614611
1009900,Parada 1/3 - Inss,-23.539827,-46.610752
1009966,Parada 2 - Piratininga,-23.544878,-46.619591
1010053,Brás,-23.545582,-46.616314
1010054,Brás,-23.547751,-46.616127
1010076,"Av. Alcântara Machado, 773",-23.552358,-46.617495
1010082,"R. Da Figueira, 249",-23.547134,-46.626470
1010086,Transporte Coletivo Privado,-23.538022,-46.620384
1010092,Parada Caetano Pinto,-23.546153,-46.622181
1010093,Parada Piratininga,-23.545094,-46.620064
1010097,"R. Dr. Ricardo Gonçalves, 240",-23.538678,-46.613846
1010099,"R. Xavantes, 612",-23.535453,-46.613683
1010100,Gasômetro,-23.544271,-46.623176
1010101,Av. Do Estado,-23.540117,-46.627464
1010102,"Av. Do Estado, 2269",-23.534749,-46.625052
1113267,"Av. Dep. Cantidio Sampaio, 140",-23.473494,-46.671055
1113437,"Av. Inajar De Souza, 5476",-23.462766,-46.672779
1113554,"R. Parapuã, 1096",-23.475044,-46.690214
1113914,"R. Eduardo Costa, 190",-23.448290,-46.697018
1113915,"R. Domingos Arevalo, 771",-23.447419,-46.696996
1113919,"R. Feliciano Malábia, 50",-23.450811,-46.696982
1113942,"Av. Dep. Cantidio Sampaio, 5647",-23.441793,-46.707431
1114034,"Av. Manoel Bolivar, 313",-23.457648,-46.699710
1114044,"R. Alfredo Lucio, 170",-23.458673,-46.695103
1114051,"R. Do Outono, 706",-23.461329,-46.692922
